,Unnamed: 0,Home,Away,H_W_PCT,H_FG_PCT,H_FG3_PCT,H_FT_PCT,H_REB,H_AST,H_TOV,H_STL,H_BLK,H_PLUS_MINUS,H_OFF_RATING,H_DEF_RATING,H_TS_PCT,A_W_PCT,A_FG_PCT,A_FG3_PCT,A_FT_PCT,A_REB,A_AST,A_TOV,A_STL,A_BLK,A_PLUS_MINUS,A_OFF_RATING,A_DEF_RATING,A_TS_PCT,Result,Date
43,43,Portland Trail Blazers,Memphis Grizzlies,0.4,0.433,0.293,0.824,45.2,19.6,16.7,8.5,5.6,-5.6,103.8,109.3,0.527,0.0,0.421,0.322,0.781,41.5,22.9,15.4,9.4,6.3,-11.0,102.5,113.7,0.533,1,11/03/2023
44,44,Philadelphia 76ers,Phoenix Suns,0.75,0.488,0.397,0.816,44.7,24.9,14.1,9.5,7.8,12.3,118.3,106.6,0.604,0.4,0.486,0.372,0.807,44.5,24.7,17.2,6.9,5.5,1.8,111.5,109.3,0.598,1,11/04/2023
45,45,New Orleans Pelicans,Atlanta Hawks,0.8,0.441,0.337,0.703,44.8,22.6,13.4,7.3,4.9,0.2,106.9,106.7,0.54,0.6,0.492,0.344,0.852,43.0,26.4,14.3,9.2,3.6,5.4,117.4,112.3,0.601,0,11/04/2023
46,46,Orlando Magic,Los Angeles Lakers,0.6,0.452,0.314,0.71,45.6,23.7,14.7,10.8,5.2,3.6,107.2,103.6,0.548,0.6,0.472,0.302,0.766,44.1,24.9,13.4,7.7,6.5,-0.8,109.2,110.0,0.569,1,11/04/2023
47,47,Indiana Pacers,Charlotte Hornets,0.6,0.481,0.344,0.767,41.7,29.6,12.5,6.3,5.4,-3.5,114.8,118.0,0.575,0.25,0.467,0.301,0.781,41.8,25.8,15.0,8.4,5.5,-6.4,108.6,115.3,0.56,0,11/04/2023
48,48,Minnesota Timberwolves,Utah Jazz,0.5,0.446,0.37,0.819,48.9,23.7,14.6,7.8,5.5,5.0,106.5,102.0,0.541,0.333,0.458,0.374,0.742,47.5,27.1,16.4,6.6,3.7,-3.6,111.2,114.4,0.562,1,11/04/2023
49,49,Brooklyn Nets,Boston Celtics,0.6,0.492,0.413,0.747,45.3,28.5,15.2,5.9,5.1,2.4,115.6,113.9,0.603,1.0,0.507,0.404,0.838,51.4,23.6,14.5,7.1,6.1,20.1,124.8,104.7,0.628,0,11/04/2023
50,50,Houston Rockets,Sacramento Kings,0.25,0.459,0.368,0.731,38.3,26.4,15.2,7.5,2.7,-9.0,107.2,115.6,0.556,0.5,0.446,0.339,0.75,43.0,25.4,12.1,7.1,5.2,2.9,113.3,110.7,0.554,1,11/04/2023
51,51,Denver Nuggets,Chicago Bulls,0.833,0.511,0.354,0.674,45.3,30.3,15.8,8.3,7.5,8.0,115.7,106.9,0.586,0.333,0.436,0.316,0.805,43.1,20.0,12.5,8.8,4.4,-6.6,106.7,113.3,0.526,1,11/04/2023
52,52,Detroit Pistons,Phoenix Suns,0.333,0.455,0.389,0.793,47.8,28.1,18.0,6.0,6.1,-0.5,109.1,109.4,0.555,0.333,0.464,0.353,0.81,44.1,24.3,16.2,7.6,6.6,-0.5,109.8,109.9,0.577,0,11/05/2023
