,Unnamed: 0.2,Home,Away,Game_ID,H_Score,A_Score,H_W_PCT,H_FG_PCT,H_FG3_PCT,H_FT_PCT,H_REB,H_AST,H_TOV,H_STL,H_BLK,H_PLUS_MINUS,H_OFF_RATING,H_DEF_RATING,H_TS_PCT,A_W_PCT,A_FG_PCT,A_FG3_PCT,A_FT_PCT,A_REB,A_AST,A_TOV,A_STL,A_BLK,A_PLUS_MINUS,A_OFF_RATING,A_DEF_RATING,A_TS_PCT,Result,Date,Season,Home_W_Pct_10,Away_W_Pct_10,H_Team_Elo_Before,A_Team_Elo_Before,H_Team_Elo_After,A_Team_Elo_After
25,25,LA Clippers,Cleveland Cavaliers,22100064,79,92,0.333,0.448,0.336,0.772,39.7,26.5,9.8,11.7,3.8,6.9,108.2,101.9,0.548,0.5,0.474,0.303,0.776,43.3,28.0,13.9,7.2,4.7,-1.0,107.2,107.6,0.562,0,2021-10-27,2021-22,0.1,0.1,1517.5788744900867,1513.9172337218408,1502.7568811407148,1528.7392270712128
26,26,Boston Celtics,Washington Wizards,22100056,107,116,0.5,0.435,0.351,0.785,44.0,24.5,15.2,8.4,8.2,-3.4,105.2,109.4,0.551,0.667,0.437,0.317,0.831,45.1,19.0,13.7,7.6,6.0,0.6,102.5,101.9,0.541,0,2021-10-27,2021-22,0.2,0.0,1525.7625471449032,1488.9065442598,1512.7683858890564,1501.900705515647
27,27,Phoenix Suns,Sacramento Kings,22100062,107,110,0.333,0.462,0.34,0.717,42.6,26.6,14.4,7.5,2.0,-10.2,104.3,115.2,0.551,0.333,0.444,0.325,0.73,45.8,22.6,14.2,6.8,4.2,-5.8,107.1,113.3,0.545,0,2021-10-27,2021-22,0.5,0.0,1500.0,1486.0827662781592,1493.0222322455732,1493.060534032586
28,28,Brooklyn Nets,Miami Heat,22100057,93,106,0.5,0.442,0.343,0.75,46.8,21.3,12.9,6.2,6.7,-5.0,103.2,108.2,0.54,0.667,0.464,0.316,0.797,49.7,23.7,14.1,7.1,1.9,15.4,107.4,92.6,0.554,0,2021-10-27,2021-22,0.1,0.1,1494.2790007805554,1512.2435564119207,1480.4381352169607,1526.0844219755154
29,29,Orlando Magic,Charlotte Hornets,22100055,111,120,0.25,0.405,0.314,0.758,47.2,21.3,16.8,6.3,4.8,-15.7,99.7,115.5,0.52,0.75,0.463,0.401,0.714,45.1,26.5,12.2,8.5,4.0,4.0,114.1,109.1,0.559,0,2021-10-27,2021-22,0.1,0.1,1497.004999384938,1503.4637028543414,1485.5966293061117,1514.8720729331678
30,30,Philadelphia 76ers,Detroit Pistons,22100065,110,102,0.5,0.474,0.392,0.824,43.8,23.3,13.0,7.8,7.0,3.6,114.0,110.1,0.585,0.0,0.409,0.225,0.739,45.2,18.9,17.9,7.6,6.3,-13.0,91.0,103.0,0.474,1,2021-10-28,2021-22,0.1,0.0,1503.0705261172373,1487.7550969967965,1509.9049968860838,1480.92062622795
31,31,Golden State Warriors,Memphis Grizzlies,22100070,101,104,1.0,0.466,0.381,0.777,46.4,27.3,14.5,8.5,4.1,7.0,111.4,104.1,0.58,0.5,0.453,0.383,0.77,49.4,26.2,15.3,8.6,4.4,-1.5,115.1,117.1,0.557,0,2021-10-28,2021-22,0.2,0.0,1523.8461971786398,1481.5930978709994,1516.2680117177104,1489.1712833319289
32,32,Chicago Bulls,New York Knicks,22100067,103,104,1.0,0.465,0.423,0.864,41.3,24.5,14.3,10.3,6.5,10.0,107.5,97.5,0.572,0.75,0.455,0.38,0.702,45.2,25.0,13.6,8.1,6.4,8.6,113.1,105.3,0.57,0,2021-10-28,2021-22,0.1,0.1,1506.6865317906934,1501.598151807745,1501.7755497462508,1506.5091338521877
33,33,Houston Rockets,Utah Jazz,22100068,91,122,0.25,0.453,0.408,0.733,44.1,22.5,18.7,9.4,4.8,-1.2,103.8,105.0,0.567,1.0,0.455,0.328,0.821,48.3,18.0,14.3,8.3,4.7,14.0,113.0,99.0,0.574,0,2021-10-28,2021-22,0.0,0.1,1479.6773700374474,1508.8126059013412,1455.293994660016,1533.1959812787725
34,34,Dallas Mavericks,San Antonio Spurs,22100069,104,99,0.667,0.404,0.305,0.768,49.7,21.5,12.9,7.3,5.3,-2.6,101.3,104.0,0.507,0.25,0.476,0.326,0.65,42.9,28.3,13.7,9.4,3.6,1.4,108.2,106.0,0.543,1,2021-10-28,2021-22,0.1,0.0,1507.9108349229523,1492.5415685523826,1513.2069929352415,1487.2454105400936
35,35,Washington Wizards,Atlanta Hawks,22100066,122,111,0.75,0.455,0.326,0.798,45.5,18.8,14.2,7.7,6.3,2.7,105.8,103.4,0.555,0.75,0.446,0.344,0.79,53.3,24.0,12.3,7.0,4.8,10.3,108.0,98.0,0.532,1,2021-10-28,2021-22,0.1,0.2,1501.900705515647,1518.918882547029,1511.4061940342403,1509.4133940284355
36,36,Toronto Raptors,Orlando Magic,22100071,110,109,0.4,0.413,0.325,0.771,50.5,20.5,15.3,11.9,3.8,4.8,104.4,100.2,0.508,0.2,0.423,0.327,0.76,44.2,21.4,17.1,6.3,4.2,-14.3,101.6,115.9,0.534,1,2021-10-29,2021-22,0.1,0.1,1505.2631045815042,1485.5966293061117,1508.248366531476,1482.6113673561397
