,Unnamed: 0.9,Unnamed: 0,Home,Away,Game_ID,H_Score,A_Score,H_W_PCT,H_FG_PCT,H_FG3_PCT,H_FT_PCT,H_REB,H_AST,H_TOV,H_STL,H_BLK,H_PLUS_MINUS,H_OFF_RATING,H_DEF_RATING,H_TS_PCT,A_W_PCT,A_FG_PCT,A_FG3_PCT,A_FT_PCT,A_REB,A_AST,A_TOV,A_STL,A_BLK,A_PLUS_MINUS,A_OFF_RATING,A_DEF_RATING,A_TS_PCT,Result,Date
24,24,24.0,Orlando Magic,Charlotte Hornets,22100055,111,120,0.25,0.405,0.314,0.758,47.2,21.3,16.8,6.3,4.8,-15.7,99.7,115.5,0.52,0.75,0.463,0.401,0.714,45.1,26.5,12.2,8.5,4.0,4.0,114.1,109.1,0.559,0,10/27/2021
25,25,25.0,Milwaukee Bucks,Minnesota Timberwolves,22100060,108,113,0.75,0.462,0.357,0.77,42.9,21.4,14.2,8.0,4.8,0.2,111.3,110.0,0.576,0.667,0.41,0.341,0.75,42.4,21.5,15.5,13.0,8.5,5.1,100.6,96.2,0.525,0,10/27/2021
26,26,26.0,Portland Trail Blazers,Memphis Grizzlies,22100063,116,96,0.333,0.471,0.336,0.772,44.7,19.9,16.1,7.5,4.3,-1.2,105.9,106.8,0.574,0.667,0.483,0.404,0.873,49.2,25.9,13.1,8.5,4.9,4.6,121.3,117.1,0.589,1,10/27/2021
27,27,27.0,Toronto Raptors,Indiana Pacers,22100058,118,100,0.25,0.4,0.294,0.802,52.5,20.0,16.0,10.3,3.3,1.5,100.3,99.5,0.498,0.25,0.46,0.359,0.817,45.9,23.1,15.1,5.4,5.2,-0.2,109.9,110.4,0.569,1,10/27/2021
28,28,28.0,Oklahoma City Thunder,Los Angeles Lakers,22100061,123,115,0.0,0.409,0.287,0.7,44.0,21.4,15.0,7.4,3.3,-18.8,96.2,113.9,0.494,0.5,0.47,0.397,0.685,42.3,21.9,14.8,7.4,6.7,-2.3,107.4,110.0,0.566,1,10/27/2021
29,29,29.0,New Orleans Pelicans,Atlanta Hawks,22100059,99,102,0.25,0.424,0.364,0.789,50.7,21.6,19.9,6.6,5.1,-8.3,99.3,107.1,0.523,0.667,0.456,0.366,0.778,51.8,24.6,12.5,7.9,4.9,12.5,108.2,96.1,0.545,0,10/27/2021
30,30,30.0,Philadelphia 76ers,Detroit Pistons,22100065,110,102,0.5,0.474,0.392,0.824,43.8,23.3,13.0,7.8,7.0,3.6,114.0,110.1,0.585,0.0,0.409,0.225,0.739,45.2,18.9,17.9,7.6,6.3,-13.0,91.0,103.0,0.474,1,10/28/2021
31,31,31.0,Golden State Warriors,Memphis Grizzlies,22100070,101,104,1.0,0.466,0.381,0.777,46.4,27.3,14.5,8.5,4.1,7.0,111.4,104.1,0.58,0.5,0.453,0.383,0.77,49.4,26.2,15.3,8.6,4.4,-1.5,115.1,117.1,0.557,0,10/28/2021
32,32,32.0,Chicago Bulls,New York Knicks,22100067,103,104,1.0,0.465,0.423,0.864,41.3,24.5,14.3,10.3,6.5,10.0,107.5,97.5,0.572,0.75,0.455,0.38,0.702,45.2,25.0,13.6,8.1,6.4,8.6,113.1,105.3,0.57,0,10/28/2021
33,33,33.0,Houston Rockets,Utah Jazz,22100068,91,122,0.25,0.453,0.408,0.733,44.1,22.5,18.7,9.4,4.8,-1.2,103.8,105.0,0.567,1.0,0.455,0.328,0.821,48.3,18.0,14.3,8.3,4.7,14.0,113.0,99.0,0.574,0,10/28/2021
34,34,34.0,Dallas Mavericks,San Antonio Spurs,22100069,104,99,0.667,0.404,0.305,0.768,49.7,21.5,12.9,7.3,5.3,-2.6,101.3,104.0,0.507,0.25,0.476,0.326,0.65,42.9,28.3,13.7,9.4,3.6,1.4,108.2,106.0,0.543,1,10/28/2021
35,35,35.0,Washington Wizards,Atlanta Hawks,22100066,122,111,0.75,0.455,0.326,0.798,45.5,18.8,14.2,7.7,6.3,2.7,105.8,103.4,0.555,0.75,0.446,0.344,0.79,53.3,24.0,12.3,7.0,4.8,10.3,108.0,98.0,0.532,1,10/28/2021
36,36,36.0,Los Angeles Lakers,Cleveland Cavaliers,22100077,113,101,0.4,0.476,0.38,0.708,41.5,23.1,15.1,7.4,5.8,-3.4,108.0,111.4,0.57,0.6,0.462,0.282,0.795,46.4,25.0,15.4,7.6,4.4,1.8,105.0,102.8,0.549,1,10/29/2021
37,37,37.0,Brooklyn Nets,Indiana Pacers,22100072,105,98,0.4,0.432,0.339,0.778,45.6,21.1,13.4,6.3,6.7,-6.5,100.6,107.3,0.534,0.2,0.464,0.357,0.818,45.0,22.4,16.7,5.6,5.6,-3.6,108.6,112.5,0.571,1,10/29/2021
38,38,38.0,Miami Heat,Charlotte Hornets,22100073,114,99,0.75,0.446,0.306,0.811,52.4,22.9,14.3,6.8,1.9,14.7,106.5,92.0,0.538,0.8,0.473,0.413,0.739,43.9,25.6,13.1,9.5,4.0,4.9,114.8,109.0,0.573,1,10/29/2021
39,39,39.0,Portland Trail Blazers,LA Clippers,22100076,111,92,0.5,0.469,0.354,0.761,45.6,20.4,15.7,8.3,4.8,3.8,108.6,104.3,0.579,0.25,0.427,0.307,0.743,39.2,24.9,10.9,12.1,3.4,2.2,102.2,100.5,0.52,1,10/29/2021
40,40,40.0,Denver Nuggets,Dallas Mavericks,22100075,106,75,0.5,0.488,0.333,0.642,41.8,22.5,18.6,9.4,2.2,-1.5,101.2,103.5,0.566,0.75,0.418,0.329,0.681,49.0,20.9,13.1,6.5,5.8,-0.8,103.0,103.8,0.517,1,10/29/2021
41,41,41.0,Toronto Raptors,Orlando Magic,22100071,110,109,0.4,0.413,0.325,0.771,50.5,20.5,15.3,11.9,3.8,4.8,104.4,100.2,0.508,0.2,0.423,0.327,0.76,44.2,21.4,17.1,6.3,4.2,-14.3,101.6,115.9,0.534,1,10/29/2021
42,42,42.0,New Orleans Pelicans,Sacramento Kings,22100074,109,113,0.2,0.425,0.352,0.8,49.9,22.3,18.1,6.4,5.4,-7.4,100.2,107.1,0.52,0.5,0.444,0.342,0.731,44.4,23.9,13.7,6.8,4.6,-3.7,107.8,111.2,0.544,0,10/29/2021
43,43,,Philadelphia 76ers,Atlanta Hawks,22100082,122,94,0.6,0.479,0.4,0.848,44.3,23.1,14.6,7.6,7.4,4.5,113.4,108.6,0.595,0.6,0.465,0.336,0.763,51.1,24.4,12.4,6.4,4.4,6.0,108.4,102.6,0.543,1,10/30/2021
44,44,,Golden State Warriors,Oklahoma City Thunder,22100086,103,82,0.8,0.46,0.374,0.774,46.0,27.2,15.9,8.2,4.6,5.0,107.7,102.3,0.57,0.2,0.427,0.311,0.717,43.2,21.1,15.1,7.4,3.2,-13.3,100.6,113.2,0.52,1,10/30/2021
45,45,,Chicago Bulls,Utah Jazz,22100083,107,99,0.8,0.458,0.404,0.874,40.9,24.9,13.0,9.5,6.3,7.9,107.9,100.0,0.568,1.0,0.462,0.333,0.814,50.2,19.3,15.6,8.2,4.5,18.1,114.1,96.0,0.586,1,10/30/2021
46,46,,Phoenix Suns,Cleveland Cavaliers,22100088,101,92,0.25,0.459,0.328,0.714,45.7,25.6,13.5,7.1,2.9,-8.4,104.4,113.9,0.542,0.5,0.455,0.295,0.776,45.2,25.8,15.5,8.1,3.9,-0.5,105.6,105.5,0.544,1,10/30/2021
47,47,,Detroit Pistons,Orlando Magic,22100079,110,103,0.0,0.408,0.258,0.726,43.3,19.8,17.0,8.5,5.8,-11.8,94.0,105.0,0.486,0.167,0.431,0.348,0.75,44.9,22.0,17.3,5.4,4.4,-12.2,103.9,116.3,0.542,1,10/30/2021
48,48,,Milwaukee Bucks,San Antonio Spurs,22100085,93,102,0.6,0.451,0.337,0.769,42.9,21.6,13.2,8.3,4.5,-0.8,110.7,110.6,0.564,0.2,0.47,0.34,0.64,44.2,27.1,14.0,8.8,5.1,0.2,107.2,106.4,0.539,0,10/30/2021
49,49,,Indiana Pacers,Toronto Raptors,22100081,94,97,0.167,0.452,0.346,0.795,45.1,22.0,16.2,6.1,5.8,-4.2,106.7,110.9,0.554,0.5,0.426,0.321,0.756,49.3,20.3,14.2,11.9,3.6,4.2,106.6,102.7,0.518,0,10/30/2021
50,50,,Minnesota Timberwolves,Denver Nuggets,22100087,91,93,0.75,0.426,0.327,0.765,44.0,23.3,15.9,11.1,7.5,5.0,103.6,99.0,0.537,0.6,0.494,0.327,0.652,43.6,23.6,18.8,9.1,2.4,5.0,102.0,98.0,0.572,0,10/30/2021
51,51,,Washington Wizards,Boston Celtics,22100078,115,112,0.8,0.457,0.337,0.8,46.5,20.2,13.2,7.4,5.8,4.3,108.7,104.7,0.557,0.4,0.435,0.35,0.794,42.8,23.3,14.8,8.5,7.6,-4.4,105.7,110.6,0.551,1,10/30/2021
52,52,,Memphis Grizzlies,Miami Heat,22100084,103,129,0.6,0.443,0.351,0.807,48.8,25.5,15.6,10.1,5.3,-0.6,110.9,112.1,0.546,0.8,0.451,0.296,0.844,54.0,23.0,15.0,6.6,2.1,14.8,108.2,93.6,0.545,0,10/30/2021
53,53,,New Orleans Pelicans,New York Knicks,22100080,117,123,0.167,0.426,0.337,0.762,49.7,21.5,16.7,6.8,5.5,-6.8,101.5,107.9,0.517,0.8,0.456,0.38,0.712,46.5,23.5,13.6,7.6,6.6,7.2,112.6,106.1,0.567,0,10/30/2021
54,54,,Los Angeles Lakers,Houston Rockets,22100093,95,85,0.5,0.487,0.389,0.724,42.0,23.5,16.3,7.8,5.9,-1.0,109.8,111.0,0.58,0.2,0.426,0.36,0.761,43.2,20.9,17.1,9.0,4.4,-6.9,100.6,107.5,0.538,1,10/31/2021
55,55,,Brooklyn Nets,Detroit Pistons,22100092,117,91,0.5,0.434,0.325,0.771,46.1,20.9,14.1,6.7,6.6,-4.3,101.0,105.6,0.538,0.2,0.408,0.275,0.748,44.2,21.0,16.8,9.2,5.8,-8.0,97.2,105.0,0.497,1,10/31/2021
56,56,,Milwaukee Bucks,Utah Jazz,22100091,95,107,0.5,0.444,0.324,0.759,43.8,21.0,14.3,7.9,4.0,-2.1,106.4,108.0,0.551,0.8,0.445,0.325,0.836,50.7,18.3,16.4,7.5,4.9,12.8,110.5,97.4,0.567,0,10/31/2021
57,57,,Dallas Mavericks,Sacramento Kings,22100089,105,99,0.6,0.396,0.31,0.708,46.5,19.5,13.5,6.8,5.2,-6.8,97.6,104.0,0.499,0.6,0.454,0.34,0.786,44.4,22.9,13.7,6.3,4.7,-2.2,108.6,110.5,0.558,1,10/31/2021
58,58,,Charlotte Hornets,Portland Trail Blazers,22100090,125,113,0.667,0.46,0.402,0.737,42.9,24.9,12.8,9.3,4.3,1.8,112.4,110.0,0.561,0.6,0.458,0.377,0.74,48.9,20.5,15.3,8.2,5.0,6.7,108.8,102.1,0.568,1,10/31/2021
59,59,,Philadelphia 76ers,Portland Trail Blazers,22100096,113,103,0.667,0.488,0.385,0.865,43.1,23.2,14.2,8.2,7.2,8.5,114.9,106.3,0.603,0.5,0.456,0.364,0.757,48.8,22.1,14.9,7.6,5.0,3.7,110.0,106.3,0.566,1,11/01/2021
60,60,,New York Knicks,Toronto Raptors,22100099,104,113,0.833,0.465,0.407,0.729,45.0,23.3,13.4,7.5,6.2,7.0,114.5,108.0,0.582,0.571,0.426,0.325,0.748,49.2,20.0,14.8,11.3,3.6,4.1,105.4,101.6,0.516,0,11/01/2021
61,61,,Boston Celtics,Chicago Bulls,22100098,114,128,0.333,0.431,0.321,0.811,43.2,22.6,13.9,8.2,7.7,-4.1,103.5,107.7,0.537,0.833,0.452,0.382,0.857,41.3,23.2,12.2,9.2,6.0,7.9,107.0,99.3,0.558,0,11/01/2021
62,62,,LA Clippers,Oklahoma City Thunder,22100102,99,94,0.2,0.42,0.317,0.709,40.0,23.4,11.3,11.1,3.7,-2.0,100.4,102.3,0.514,0.167,0.415,0.292,0.725,43.3,19.8,15.2,7.5,3.7,-14.5,97.2,111.1,0.508,1,11/01/2021
63,63,,Atlanta Hawks,Washington Wizards,22100097,118,111,0.5,0.45,0.339,0.758,50.8,24.3,13.5,6.3,3.8,0.3,106.2,105.8,0.527,0.833,0.44,0.327,0.801,47.4,19.3,12.7,6.9,5.8,3.9,106.1,102.5,0.542,1,11/01/2021
64,64,,Indiana Pacers,San Antonio Spurs,22100095,131,118,0.143,0.45,0.339,0.783,44.5,22.4,16.8,6.4,6.4,-4.0,105.1,109.1,0.552,0.333,0.46,0.321,0.657,44.5,26.9,13.2,9.2,4.7,1.6,105.2,102.9,0.53,1,11/01/2021
65,65,,Minnesota Timberwolves,Orlando Magic,22100101,97,115,0.6,0.419,0.325,0.777,44.7,23.0,16.8,10.5,7.2,3.7,102.0,98.4,0.528,0.143,0.432,0.366,0.748,45.2,21.9,17.4,5.4,4.7,-11.5,104.1,115.4,0.543,0,11/01/2021
66,66,,Charlotte Hornets,Cleveland Cavaliers,22100094,110,113,0.714,0.467,0.415,0.722,43.2,26.5,12.3,8.6,4.6,3.2,114.6,110.9,0.571,0.429,0.446,0.3,0.78,45.3,25.0,16.0,8.1,3.7,-1.7,103.3,104.4,0.537,0,11/01/2021
67,67,,Memphis Grizzlies,Denver Nuggets,22100100,106,97,0.5,0.434,0.345,0.826,46.1,25.6,15.3,10.7,5.5,-4.7,109.6,114.9,0.544,0.667,0.479,0.313,0.671,44.5,23.8,18.8,9.5,3.7,4.5,101.0,97.5,0.558,1,11/01/2021
68,68,,Los Angeles Lakers,Houston Rockets,22100107,119,117,0.571,0.475,0.376,0.713,42.0,23.2,15.9,8.7,6.3,0.5,107.4,107.1,0.564,0.167,0.425,0.341,0.71,44.9,20.4,18.6,8.8,4.2,-7.4,97.8,105.0,0.529,1,11/02/2021
69,69,,Phoenix Suns,New Orleans Pelicans,22100106,112,100,0.4,0.46,0.31,0.694,46.7,25.7,13.7,8.0,2.9,-4.9,103.1,109.1,0.539,0.143,0.43,0.336,0.791,48.8,22.8,16.1,6.8,5.1,-6.7,103.8,110.2,0.525,1,11/02/2021
70,70,,Detroit Pistons,Milwaukee Bucks,22100103,89,117,0.167,0.407,0.289,0.736,41.9,21.1,16.6,9.7,5.4,-11.1,96.8,107.5,0.499,0.429,0.438,0.319,0.762,44.3,20.6,14.0,7.8,3.9,-3.5,106.0,109.1,0.541,0,11/02/2021
71,71,,Utah Jazz,Sacramento Kings,22100105,119,113,0.833,0.448,0.325,0.853,50.3,17.7,16.0,7.3,5.8,12.9,111.4,98.3,0.574,0.5,0.443,0.317,0.789,46.5,22.5,13.7,6.3,4.4,-2.8,107.6,110.2,0.543,1,11/02/2021
72,72,,Dallas Mavericks,Miami Heat,22100104,110,125,0.667,0.404,0.312,0.698,46.5,20.4,13.0,7.1,5.1,-4.7,99.3,103.7,0.504,0.833,0.463,0.347,0.844,53.3,24.3,15.5,7.5,2.1,16.6,111.6,95.1,0.565,0,11/02/2021
73,73,,Philadelphia 76ers,Chicago Bulls,22100111,103,98,0.714,0.492,0.381,0.866,42.2,25.1,13.9,8.7,7.1,8.8,115.8,106.8,0.607,0.857,0.469,0.388,0.868,42.5,24.2,13.0,8.9,6.3,8.7,109.9,101.1,0.575,1,11/03/2021
74,74,,Golden State Warriors,Charlotte Hornets,22100117,114,92,0.833,0.454,0.378,0.754,47.4,27.6,15.9,8.3,5.1,7.5,106.6,98.7,0.565,0.625,0.46,0.411,0.723,43.6,26.6,12.9,9.0,5.5,2.4,114.1,111.1,0.563,1,11/03/2021
75,75,,San Antonio Spurs,Dallas Mavericks,22100116,108,109,0.286,0.469,0.344,0.664,43.3,27.9,13.8,8.8,4.6,-0.4,106.9,106.9,0.542,0.571,0.409,0.315,0.701,46.0,20.0,12.6,6.2,4.8,-6.2,101.6,107.5,0.513,0,11/03/2021
76,76,,Brooklyn Nets,Atlanta Hawks,22100113,117,108,0.571,0.461,0.346,0.755,45.6,22.2,15.0,6.8,5.9,0.0,103.7,104.1,0.562,0.571,0.451,0.346,0.815,50.6,24.4,13.2,6.8,4.0,1.3,108.5,107.3,0.54,1,11/03/2021
77,77,,Orlando Magic,Boston Celtics,22100110,79,92,0.25,0.434,0.37,0.758,45.9,21.8,17.3,5.3,4.9,-7.7,105.5,113.2,0.551,0.286,0.432,0.337,0.803,42.4,22.2,13.3,8.4,6.8,-5.4,104.6,110.3,0.538,0,11/03/2021
78,78,,Cleveland Cavaliers,Portland Trail Blazers,22100108,107,104,0.5,0.445,0.302,0.76,45.8,24.5,16.0,8.6,4.2,-1.1,104.5,105.1,0.536,0.429,0.458,0.362,0.737,48.7,22.2,15.0,7.3,4.6,1.8,110.0,108.3,0.565,1,11/03/2021
79,79,,Sacramento Kings,New Orleans Pelicans,22100118,112,99,0.429,0.445,0.325,0.776,45.0,22.6,13.2,6.5,4.9,-3.2,107.6,110.8,0.543,0.125,0.426,0.336,0.807,48.1,22.5,16.3,8.1,5.2,-7.3,103.4,110.3,0.523,1,11/03/2021
80,80,,Indiana Pacers,New York Knicks,22100109,111,98,0.25,0.465,0.356,0.78,43.8,24.2,16.7,6.9,6.1,-1.9,108.4,110.2,0.568,0.714,0.465,0.408,0.732,44.6,23.0,13.9,6.9,5.9,4.8,113.5,109.0,0.585,1,11/03/2021
81,81,,Minnesota Timberwolves,LA Clippers,22100115,115,126,0.5,0.411,0.316,0.743,45.2,22.7,16.4,10.1,6.2,0.2,101.3,101.1,0.516,0.333,0.413,0.324,0.714,41.9,22.6,11.8,10.6,3.9,-0.8,100.3,101.0,0.511,0,11/03/2021
82,82,,Washington Wizards,Toronto Raptors,22100112,100,109,0.714,0.445,0.328,0.82,46.2,20.5,12.7,7.0,5.6,2.5,107.5,105.2,0.549,0.625,0.427,0.326,0.765,49.2,20.6,14.1,11.4,3.7,4.7,106.6,102.3,0.518,0,11/03/2021
83,83,,Memphis Grizzlies,Denver Nuggets,22100114,108,106,0.571,0.437,0.35,0.819,47.4,24.8,15.0,10.4,5.3,-2.8,109.3,112.7,0.542,0.571,0.474,0.301,0.67,44.0,24.3,17.9,9.3,4.3,2.6,100.7,98.8,0.551,1,11/03/2021
84,84,,Los Angeles Lakers,Oklahoma City Thunder,22100123,104,107,0.625,0.482,0.362,0.718,41.7,23.3,15.9,8.8,5.9,0.7,107.8,107.3,0.566,0.143,0.411,0.293,0.735,44.4,19.4,15.3,7.6,4.0,-13.1,96.7,109.5,0.505,0,11/04/2021
85,85,,Phoenix Suns,Houston Rockets,22100122,123,111,0.5,0.47,0.316,0.729,45.8,26.7,14.6,8.0,3.1,-2.1,104.4,107.6,0.552,0.143,0.441,0.348,0.687,43.5,21.1,19.3,8.6,4.1,-6.6,99.3,105.9,0.54,1,11/04/2021
86,86,,Miami Heat,Boston Celtics,22100121,78,95,0.857,0.47,0.367,0.848,52.5,24.6,14.4,7.3,2.5,16.5,114.3,97.9,0.577,0.375,0.43,0.329,0.78,43.5,22.5,13.1,8.3,7.1,-3.3,103.7,107.4,0.535,0,11/04/2021
87,87,,Detroit Pistons,Philadelphia 76ers,22100119,98,109,0.143,0.394,0.267,0.729,42.2,21.2,16.3,9.1,5.3,-13.5,95.8,108.9,0.487,0.75,0.493,0.386,0.845,41.4,25.0,13.9,8.8,6.7,8.4,114.6,106.1,0.606,0,11/04/2021
88,88,,Atlanta Hawks,Utah Jazz,22100120,98,116,0.5,0.449,0.35,0.82,50.5,24.1,13.3,6.9,4.0,0.0,107.9,108.1,0.539,0.857,0.446,0.32,0.829,51.2,17.4,16.1,7.3,5.8,11.8,111.8,99.7,0.569,0,11/04/2021
89,89,,Golden State Warriors,New Orleans Pelicans,22100130,126,85,0.857,0.458,0.381,0.742,47.9,28.1,15.9,9.1,4.9,9.5,106.9,97.1,0.571,0.111,0.426,0.338,0.813,47.4,22.8,16.5,7.3,5.0,-8.0,103.3,111.0,0.524,1,11/05/2021
90,90,,Orlando Magic,San Antonio Spurs,22100125,89,102,0.222,0.422,0.35,0.762,46.3,21.2,17.1,5.7,4.5,-8.4,103.2,111.4,0.537,0.25,0.471,0.343,0.677,42.7,27.4,13.8,8.8,5.2,-0.5,106.4,106.4,0.544,0,11/05/2021
